SPECIES_ITIS,STOCK_ABBREV,SEX_TYPE,PURPOSE_CODE,SURVEY,SEASON,YEAR,AGE,NO_AT_AGE,ALK_COMPLETE,STRATA_SAMPLING_COMPLETE
172905,GBK,NONE,10,"NMFS fall BTS",FALL,1976,1,.284,N,Y
172905,GBK,NONE,10,"NMFS fall BTS",FALL,1976,2,1.4665,N,Y
172905,GBK,NONE,10,"NMFS fall BTS",FALL,1976,3,1.7817,N,Y
172905,GBK,NONE,10,"NMFS fall BTS",FALL,1976,4,.7327,N,Y
172905,GBK,NONE,10,"NMFS fall BTS",FALL,1976,5,.3325,N,Y
172905,GBK,NONE,10,"NMFS fall BTS",FALL,1976,6,.237,N,Y
172905,GBK,NONE,10,"NMFS fall BTS",FALL,1976,7,.2638,N,Y
172905,GBK,NONE,10,"NMFS fall BTS",FALL,1976,8,.119,N,Y
172905,GBK,NONE,10,"NMFS fall BTS",FALL,1976,9,.0179,N,Y
172905,GBK,NONE,10,"NMFS fall BTS",FALL,1977,,,,
172905,GBK,NONE,10,"NMFS fall BTS",FALL,1978,,,,
172905,GBK,NONE,10,"NMFS fall BTS",FALL,1979,,,,
172905,GBK,NONE,10,"NMFS fall BTS",FALL,1980,2,.286,N,Y
172905,GBK,NONE,10,"NMFS fall BTS",FALL,1980,3,.6209,N,Y
172905,GBK,NONE,10,"NMFS fall BTS",FALL,1980,4,.2984,N,Y
172905,GBK,NONE,10,"NMFS fall BTS",FALL,1980,5,.3077,N,Y
172905,GBK,NONE,10,"NMFS fall BTS",FALL,1980,6,.2094,N,Y
172905,GBK,NONE,10,"NMFS fall BTS",FALL,1980,8,.0465,N,Y
172905,GBK,NONE,10,"NMFS fall BTS",FALL,1980,9,.0072,N,Y
172905,GBK,NONE,10,"NMFS fall BTS",FALL,1980,13,.0241,N,Y
172905,GBK,NONE,10,"NMFS fall BTS",FALL,1981,1,2.1744,Y,Y
172905,GBK,NONE,10,"NMFS fall BTS",FALL,1981,2,.6121,Y,Y
172905,GBK,NONE,10,"NMFS fall BTS",FALL,1981,3,.7387,Y,Y
172905,GBK,NONE,10,"NMFS fall BTS",FALL,1981,4,.9818,Y,Y
172905,GBK,NONE,10,"NMFS fall BTS",FALL,1981,5,.4577,Y,Y
172905,GBK,NONE,10,"NMFS fall BTS",FALL,1981,6,.1222,Y,Y
172905,GBK,NONE,10,"NMFS fall BTS",FALL,1981,7,.2211,Y,Y
172905,GBK,NONE,10,"NMFS fall BTS",FALL,1981,8,.1337,Y,Y
172905,GBK,NONE,10,"NMFS fall BTS",FALL,1981,9,.0207,Y,Y
172905,GBK,NONE,10,"NMFS fall BTS",FALL,1981,10,.0368,Y,Y
172905,GBK,NONE,10,"NMFS fall BTS",FALL,1982,0,.258,Y,Y
172905,GBK,NONE,10,"NMFS fall BTS",FALL,1982,1,1.9002,Y,Y
172905,GBK,NONE,10,"NMFS fall BTS",FALL,1982,2,1.977,Y,Y
172905,GBK,NONE,10,"NMFS fall BTS",FALL,1982,3,.5285,Y,Y
172905,GBK,NONE,10,"NMFS fall BTS",FALL,1982,4,.4918,Y,Y
172905,GBK,NONE,10,"NMFS fall BTS",FALL,1982,5,.2566,Y,Y
172905,GBK,NONE,10,"NMFS fall BTS",FALL,1982,6,.1668,Y,Y
172905,GBK,NONE,10,"NMFS fall BTS",FALL,1982,8,.0303,Y,Y
172905,GBK,NONE,10,"NMFS fall BTS",FALL,1983,0,.0241,Y,Y
172905,GBK,NONE,10,"NMFS fall BTS",FALL,1983,1,.0632,Y,Y
172905,GBK,NONE,10,"NMFS fall BTS",FALL,1983,2,.5276,Y,Y
172905,GBK,NONE,10,"NMFS fall BTS",FALL,1983,3,1.2106,Y,Y
172905,GBK,NONE,10,"NMFS fall BTS",FALL,1983,4,.5613,Y,Y
