SPECIES_ITIS,STOCK_ABBREV,SEX_TYPE,PURPOSE_CODE,SURVEY,SEASON,YEAR,AGE,NO_AT_AGE,ALK_COMPLETE,STRATA_SAMPLING_COMPLETE
172905,GOM,NONE,10,"NMFS fall BTS",FALL,1976,2,.1285,N,N
172905,GOM,NONE,10,"NMFS fall BTS",FALL,1976,3,.2927,N,N
172905,GOM,NONE,10,"NMFS fall BTS",FALL,1976,4,.1142,N,N
172905,GOM,NONE,10,"NMFS fall BTS",FALL,1976,5,.1806,N,N
172905,GOM,NONE,10,"NMFS fall BTS",FALL,1976,6,.0568,N,N
172905,GOM,NONE,10,"NMFS fall BTS",FALL,1976,7,.1806,N,N
172905,GOM,NONE,10,"NMFS fall BTS",FALL,1976,9,.1222,N,N
172905,GOM,NONE,10,"NMFS fall BTS",FALL,1977,,,,
172905,GOM,NONE,10,"NMFS fall BTS",FALL,1978,,,,
172905,GOM,NONE,10,"NMFS fall BTS",FALL,1979,1,.1218,Y,Y
172905,GOM,NONE,10,"NMFS fall BTS",FALL,1979,2,1.3052,Y,Y
172905,GOM,NONE,10,"NMFS fall BTS",FALL,1979,3,2.1375,Y,Y
172905,GOM,NONE,10,"NMFS fall BTS",FALL,1979,4,1.7942,Y,Y
172905,GOM,NONE,10,"NMFS fall BTS",FALL,1979,5,.4738,Y,Y
172905,GOM,NONE,10,"NMFS fall BTS",FALL,1979,6,.1116,Y,Y
172905,GOM,NONE,10,"NMFS fall BTS",FALL,1979,7,.0155,Y,Y
172905,GOM,NONE,10,"NMFS fall BTS",FALL,1979,8,.031,Y,Y
172905,GOM,NONE,10,"NMFS fall BTS",FALL,1979,9,.0124,Y,Y
172905,GOM,NONE,10,"NMFS fall BTS",FALL,1980,1,.3099,Y,Y
172905,GOM,NONE,10,"NMFS fall BTS",FALL,1980,2,4.6212,Y,Y
172905,GOM,NONE,10,"NMFS fall BTS",FALL,1980,3,5.3434,Y,Y
172905,GOM,NONE,10,"NMFS fall BTS",FALL,1980,4,1.8513,Y,Y
172905,GOM,NONE,10,"NMFS fall BTS",FALL,1980,5,.6897,Y,Y
172905,GOM,NONE,10,"NMFS fall BTS",FALL,1980,6,.2311,Y,Y
172905,GOM,NONE,10,"NMFS fall BTS",FALL,1980,9,.0472,Y,Y
